id,original_language,overview,release_date,title,popularity,vote_average,vote_count,genre,director,year
2721,fr,"Amid a tense political climate, the opposition leader is killed in an apparent accident. When a prosecutor smells a cover-up, witnesses get targeted. A thinly veiled dramatization of the assassination of Greek politician Grigoris Lambrakis and its aftermath, “Z” captures the outrage at the US-backed junta that ruled Greece at the time of its release.",1969-02-26,Z,1.8131,7.792,560,,,1969
901563,fr,"Two 13-year-old boys spend an idyllic summer together, but their connection is put to the test when they become the subject of speculation at school.",2022-11-01,Close,6.594,7.792,853,Drama,Lukas Dhont,2022
33602,en,"A biopic of Temple Grandin, an autistic American who has become one of the leading scientists in humane livestock handling.",2010-02-06,Temple Grandin,5.5683,7.791,483,"Drama, History",Mick Jackson,2010
136,en,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",1932-01-01,Freaks,2.5136,7.8,1211,"Drama, Horror",Tod Browning,1932
9475,en,"Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.",1992-12-23,Scent of a Woman,9.0231,7.79,3550,Drama,Martin Brest,1992
523781,en,"Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to open his heart and not be defined by his condition.",2020-08-21,Words on Bathroom Walls,5.0582,7.789,624,"Drama, Romance",Thor Freudenthal,2020
367412,en,"A ferocious, bullying music teacher teaches a dedicated student.",2013-01-18,Whiplash,2.2287,7.8,372,"Drama, Music",Damien Chazelle,2013
348892,hi,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,2015-07-17,Bajrangi Bhaijaan,3.6442,7.788,495,"Comedy, Drama, Action",Kabir Khan,2015
5991,de,"An aging doorman, after being fired from his prestigious job at a luxurious hotel is forced to face the scorn of his friends, neighbours and society.",1924-12-23,The Last Laugh,1.4158,7.788,312,Drama,F. W. Murnau,1924
31056,pl,"19-year-old Tomek whiles away his lonely life by spying on his opposite neighbour Magda through binoculars. She's an artist in her mid-thirties, and appears to have everything - not least a constant stream of men at her beck and call. But when the two finally meet, they discover that they have a lot more in common than appeared at first sight...",1988-08-21,A Short Film About Love,1.6882,7.8,378,"Drama, Romance",Krzysztof Kieślowski,1988
12496,ja,"Seibei Iguchi leads a difficult life as a low ranking samurai at the turn of the nineteenth century. A widower with a meager income, Seibei struggles to take care of his two daughters and senile mother. New prospects seem to open up when the beautiful Tomoe, a childhood friend, comes back into he and his daughters' life, but as the Japanese feudal system unravels, Seibei is still bound by the code of honor of the samurai and by his own sense of social precedence. How can he find a way to do what is best for those he loves?",2002-11-02,The Twilight Samurai,1.3608,7.787,321,"Drama, Romance",Yoji Yamada,2002
1366,en,An uneducated collector for a Philadelphia loan shark is given a once-in-a-lifetime opportunity to fight against the world heavyweight boxing champion.,1976-11-20,Rocky,9.2193,7.787,8050,Drama,John G. Avildsen,1976
359156,it,"A story set in the 90s and in the outskirts of Rome to Ostia. A world where money, luxury cars, night clubs, cocaine and synthetic drugs are easy to run. A world in which Vittorio and Cesare, in their early twenties, act in search of their success.",2015-09-08,Don't Be Bad,1.9121,7.786,987,"Crime, Drama",Claudio Caligari,2015
934,fr,"Out of prison after a five-year stretch, jewel thief Tony turns down a quick job his friend Jo offers him, until he discovers that his old girlfriend Mado has become the lover of local gangster Pierre Grutter during Tony's absence. Expanding a minor smash-and-grab into a full-scale jewel heist, Tony and his crew appear to get away clean, but their actions after the job is completed threaten the lives of everyone involved.",1955-04-13,Rififi,2.087,7.786,577,"Crime, Thriller, Drama",Jules Dassin,1955
277216,en,"In 1987, five young men, using brutally honest rhymes and hardcore beats, put their frustration and anger about life in the most dangerous place in America into the most powerful weapon they had: their music.  Taking us back to where it all began, Straight Outta Compton tells the true story of how these cultural rebels—armed only with their lyrics, swagger, bravado and raw talent—stood up to the authorities that meant to keep them down and formed the world’s most dangerous group, N.W.A.  And as they spoke the truth that no one had before and exposed life in the hood, their voice ignited a social revolution that is still reverberating today.",2015-08-11,Straight Outta Compton,7.7828,7.785,3968,"Drama, Music, History",F. Gary Gray,2015
149870,ja,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.",2013-07-20,The Wind Rises,4.5759,7.785,3105,"Drama, Animation, Romance, War, History",Hayao Miyazaki,2013
15859,ko,A young couple's love is tested when Sun-jin is diagnosed with a rare form of Alzheimer's disease.,2004-11-05,A Moment to Remember,2.0479,7.785,328,"Drama, Romance",John H. Lee,2004
887,en,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",1946-12-25,The Best Years of Our Lives,4.7869,7.8,668,"Drama, Romance",William Wyler,1946
49026,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012-07-17,The Dark Knight Rises,20.6244,7.784,23152,,,2012
142,en,"In 1960s Wyoming, two men develop a strong emotional and sexual relationship that endures as a lifelong connection complicating their lives as they get married and start families of their own.",2005-10-22,Brokeback Mountain,10.669,7.784,7129,"Drama, Romance",Ang Lee,2005
